Instance,Terminal,Layer,X location,Y location,Voltage
output35,VGND,li1,65.7800,21.7600,0.000029
output34,VGND,li1,65.7800,27.2000,0.000101
output33,VGND,li1,62.1000,10.8800,0.000011
output32,VGND,li1,63.9400,10.8800,0.000011
output31,VGND,li1,63.9400,16.3200,0.000074
output30,VGND,li1,65.7800,16.3200,0.000075
output29,VGND,li1,65.7800,10.8800,0.000011
output28,VGND,li1,65.7800,48.9600,0.000120
output27,VGND,li1,7.8200,43.5200,0.000049
output26,VGND,li1,65.7800,54.4000,0.000054
output25,VGND,li1,59.3400,70.7200,0.000020
output24,VGND,li1,62.5600,70.7200,0.000020
output23,VGND,li1,49.6800,70.7200,0.000018
output22,VGND,li1,43.2400,70.7200,0.000016
output21,VGND,li1,36.8000,70.7200,0.000013
output20,VGND,li1,40.0200,70.7200,0.000015
output19,VGND,li1,65.7800,21.7600,0.000029
output18,VGND,li1,7.8200,38.0800,0.000017
output17,VGND,li1,7.8200,54.4000,0.000040
output16,VGND,li1,7.8200,54.4000,0.000040
output15,VGND,li1,11.9600,70.7200,0.000007
output14,VGND,li1,17.4800,70.7200,0.000007
output13,VGND,li1,23.9200,70.7200,0.000007
output12,VGND,li1,17.0200,54.4000,0.000037
output11,VGND,li1,7.8200,48.9600,0.000043
input10,VGND,li1,62.3300,43.5200,0.000109
input9,VGND,li1,52.2100,32.6400,0.000064
input8,VGND,li1,8.9700,27.2000,0.000038
input7,VGND,li1,7.5900,27.2000,0.000038
input6,VGND,li1,7.5900,38.0800,0.000017
input5,VGND,li1,7.5900,21.7600,0.000014
input4,VGND,li1,17.2500,10.8800,0.000003
input3,VGND,li1,7.5900,16.3200,0.000031
input2,VGND,li1,30.1300,10.8800,0.000004
input1,VGND,li1,26.9100,10.8800,0.000003
TAP_TAPCELL_ROW_22_95,VGND,li1,57.2700,71.0110,0.000020
TAP_TAPCELL_ROW_22_94,VGND,li1,44.3900,71.0110,0.000017
TAP_TAPCELL_ROW_22_93,VGND,li1,31.5100,71.0110,0.000010
TAP_TAPCELL_ROW_22_92,VGND,li1,18.6300,71.0110,0.000007
TAP_TAPCELL_ROW_21_91,VGND,li1,57.2700,70.4280,0.000020
TAP_TAPCELL_ROW_21_90,VGND,li1,31.5100,70.4280,0.000010
TAP_TAPCELL_ROW_20_89,VGND,li1,44.3900,65.5710,0.000061
TAP_TAPCELL_ROW_20_88,VGND,li1,18.6300,65.5710,0.000036
TAP_TAPCELL_ROW_19_87,VGND,li1,57.2700,64.9880,0.000074
TAP_TAPCELL_ROW_19_86,VGND,li1,31.5100,64.9880,0.000043
TAP_TAPCELL_ROW_18_85,VGND,li1,44.3900,60.1310,0.000018
TAP_TAPCELL_ROW_18_84,VGND,li1,18.6300,60.1310,0.000013
TAP_TAPCELL_ROW_17_83,VGND,li1,57.2700,59.5480,0.000021
TAP_TAPCELL_ROW_17_82,VGND,li1,31.5100,59.5480,0.000014
TAP_TAPCELL_ROW_16_81,VGND,li1,44.3900,54.6910,0.000045
TAP_TAPCELL_ROW_16_80,VGND,li1,18.6300,54.6910,0.000037
TAP_TAPCELL_ROW_15_79,VGND,li1,57.2700,54.1080,0.000052
TAP_TAPCELL_ROW_15_78,VGND,li1,31.5100,54.1080,0.000038
TAP_TAPCELL_ROW_14_77,VGND,li1,44.3900,49.2510,0.000094
TAP_TAPCELL_ROW_14_76,VGND,li1,18.6300,49.2510,0.000041
TAP_TAPCELL_ROW_13_75,VGND,li1,57.2700,48.6680,0.000119
TAP_TAPCELL_ROW_13_74,VGND,li1,31.5100,48.6680,0.000058
TAP_TAPCELL_ROW_12_73,VGND,li1,44.3900,43.8110,0.000098
TAP_TAPCELL_ROW_12_72,VGND,li1,18.6300,43.8110,0.000047
TAP_TAPCELL_ROW_11_71,VGND,li1,57.2700,43.2280,0.000107
TAP_TAPCELL_ROW_11_70,VGND,li1,31.5100,43.2280,0.000069
TAP_TAPCELL_ROW_10_69,VGND,li1,44.3900,38.3710,0.000025
TAP_TAPCELL_ROW_10_68,VGND,li1,18.6300,38.3710,0.000017
TAP_TAPCELL_ROW_9_67,VGND,li1,57.2700,37.7880,0.000032
TAP_TAPCELL_ROW_9_66,VGND,li1,31.5100,37.7880,0.000017
TAP_TAPCELL_ROW_8_65,VGND,li1,44.3900,32.9310,0.000058
TAP_TAPCELL_ROW_8_64,VGND,li1,18.6300,32.9310,0.000043
TAP_TAPCELL_ROW_7_63,VGND,li1,57.2700,32.3480,0.000068
TAP_TAPCELL_ROW_7_62,VGND,li1,31.5100,32.3480,0.000047
TAP_TAPCELL_ROW_6_61,VGND,li1,44.3900,27.4910,0.000077
TAP_TAPCELL_ROW_6_60,VGND,li1,18.6300,27.4910,0.000035
TAP_TAPCELL_ROW_5_59,VGND,li1,57.2700,26.9080,0.000099
TAP_TAPCELL_ROW_5_58,VGND,li1,31.5100,26.9080,0.000043
TAP_TAPCELL_ROW_4_57,VGND,li1,44.3900,22.0510,0.000025
TAP_TAPCELL_ROW_4_56,VGND,li1,18.6300,22.0510,0.000013
TAP_TAPCELL_ROW_3_55,VGND,li1,57.2700,21.4680,0.000028
TAP_TAPCELL_ROW_3_54,VGND,li1,31.5100,21.4680,0.000018
TAP_TAPCELL_ROW_2_53,VGND,li1,44.3900,16.6110,0.000058
TAP_TAPCELL_ROW_2_52,VGND,li1,18.6300,16.6110,0.000029
TAP_TAPCELL_ROW_1_51,VGND,li1,57.2700,16.0280,0.000071
TAP_TAPCELL_ROW_1_50,VGND,li1,31.5100,16.0280,0.000039
TAP_TAPCELL_ROW_0_49,VGND,li1,57.2700,11.1710,0.000010
TAP_TAPCELL_ROW_0_48,VGND,li1,44.3900,11.1710,0.000007
TAP_TAPCELL_ROW_0_47,VGND,li1,31.5100,11.1710,0.000004
TAP_TAPCELL_ROW_0_46,VGND,li1,18.6300,11.1710,0.000003
PHY_EDGE_ROW_22_Left_45,VGND,li1,6.2100,70.7200,0.000007
PHY_EDGE_ROW_21_Left_44,VGND,li1,6.2100,70.7200,0.000007
PHY_EDGE_ROW_20_Left_43,VGND,li1,6.2100,65.2800,0.000039
PHY_EDGE_ROW_19_Left_42,VGND,li1,6.2100,65.2800,0.000039
PHY_EDGE_ROW_18_Left_41,VGND,li1,6.2100,59.8400,0.000016
PHY_EDGE_ROW_17_Left_40,VGND,li1,6.2100,59.8400,0.000016
PHY_EDGE_ROW_16_Left_39,VGND,li1,6.2100,54.4000,0.000040
PHY_EDGE_ROW_15_Left_38,VGND,li1,6.2100,54.4000,0.000040
PHY_EDGE_ROW_14_Left_37,VGND,li1,6.2100,48.9600,0.000043
PHY_EDGE_ROW_13_Left_36,VGND,li1,6.2100,48.9600,0.000043
PHY_EDGE_ROW_12_Left_35,VGND,li1,6.2100,43.5200,0.000049
PHY_EDGE_ROW_11_Left_34,VGND,li1,6.2100,43.5200,0.000049
PHY_EDGE_ROW_10_Left_33,VGND,li1,6.2100,38.0800,0.000017
PHY_EDGE_ROW_9_Left_32,VGND,li1,6.2100,38.0800,0.000017
PHY_EDGE_ROW_8_Left_31,VGND,li1,6.2100,32.6400,0.000044
PHY_EDGE_ROW_7_Left_30,VGND,li1,6.2100,32.6400,0.000044
PHY_EDGE_ROW_6_Left_29,VGND,li1,6.2100,27.2000,0.000038
PHY_EDGE_ROW_5_Left_28,VGND,li1,6.2100,27.2000,0.000038
PHY_EDGE_ROW_4_Left_27,VGND,li1,6.2100,21.7600,0.000014
PHY_EDGE_ROW_3_Left_26,VGND,li1,6.2100,21.7600,0.000014
PHY_EDGE_ROW_2_Left_25,VGND,li1,6.2100,16.3200,0.000031
PHY_EDGE_ROW_1_Left_24,VGND,li1,6.2100,16.3200,0.000031
PHY_EDGE_ROW_0_Left_23,VGND,li1,6.2100,10.8800,0.000003
PHY_EDGE_ROW_22_Right_22,VGND,li1,67.3900,70.7200,0.000020
PHY_EDGE_ROW_21_Right_21,VGND,li1,67.3900,70.7200,0.000020
PHY_EDGE_ROW_20_Right_20,VGND,li1,67.3900,65.2800,0.000076
PHY_EDGE_ROW_19_Right_19,VGND,li1,67.3900,65.2800,0.000076
PHY_EDGE_ROW_18_Right_18,VGND,li1,67.3900,59.8400,0.000021
PHY_EDGE_ROW_17_Right_17,VGND,li1,67.3900,59.8400,0.000021
PHY_EDGE_ROW_16_Right_16,VGND,li1,67.3900,54.4000,0.000054
PHY_EDGE_ROW_15_Right_15,VGND,li1,67.3900,54.4000,0.000054
PHY_EDGE_ROW_14_Right_14,VGND,li1,67.3900,48.9600,0.000120
PHY_EDGE_ROW_13_Right_13,VGND,li1,67.3900,48.9600,0.000120
PHY_EDGE_ROW_12_Right_12,VGND,li1,67.3900,43.5200,0.000109
PHY_EDGE_ROW_11_Right_11,VGND,li1,67.3900,43.5200,0.000109
PHY_EDGE_ROW_10_Right_10,VGND,li1,67.3900,38.0800,0.000034
PHY_EDGE_ROW_9_Right_9,VGND,li1,67.3900,38.0800,0.000034
PHY_EDGE_ROW_8_Right_8,VGND,li1,67.3900,32.6400,0.000070
PHY_EDGE_ROW_7_Right_7,VGND,li1,67.3900,32.6400,0.000070
PHY_EDGE_ROW_6_Right_6,VGND,li1,67.3900,27.2000,0.000101
PHY_EDGE_ROW_5_Right_5,VGND,li1,67.3900,27.2000,0.000101
PHY_EDGE_ROW_4_Right_4,VGND,li1,67.3900,21.7600,0.000029
PHY_EDGE_ROW_3_Right_3,VGND,li1,67.3900,21.7600,0.000029
PHY_EDGE_ROW_2_Right_2,VGND,li1,67.3900,16.3200,0.000075
PHY_EDGE_ROW_1_Right_1,VGND,li1,67.3900,16.3200,0.000075
PHY_EDGE_ROW_0_Right_0,VGND,li1,67.3900,10.8800,0.000011
_338_,VGND,li1,62.3300,21.7600,0.000029
_337_,VGND,li1,62.3300,21.7600,0.000029
_336_,VGND,li1,59.5700,16.3200,0.000073
_335_,VGND,li1,60.9500,16.3200,0.000073
_334_,VGND,li1,60.9500,21.7600,0.000028
_333_,VGND,li1,62.3300,16.3200,0.000074
_332_,VGND,li1,63.7100,21.7600,0.000029
_331_,VGND,li1,16.5600,27.2000,0.000036
_330_,VGND,li1,14.2600,32.6400,0.000044
_329_,VGND,li1,13.3400,27.2000,0.000038
_328_,VGND,li1,12.8800,21.7600,0.000014
_327_,VGND,li1,18.8600,16.3200,0.000029
_326_,VGND,li1,12.8800,16.3200,0.000031
_325_,VGND,li1,29.4400,16.3200,0.000034
_324_,VGND,li1,36.8000,16.3200,0.000049
_323_,VGND,li1,22.0800,43.5200,0.000045
_322_,VGND,li1,22.5400,38.0800,0.000014
_321_,VGND,li1,62.1000,32.6400,0.000070
_320_,VGND,li1,62.1000,43.5200,0.000109
_319_,VGND,li1,62.1000,38.0800,0.000034
_318_,VGND,li1,63.0200,16.3200,0.000074
_317_,VGND,li1,40.2500,48.9600,0.000087
_316_,VGND,li1,62.1000,54.4000,0.000054
_315_,VGND,li1,60.0300,65.2800,0.000076
_314_,VGND,li1,61.1800,65.2800,0.000076
_313_,VGND,li1,48.3000,65.2800,0.000066
_312_,VGND,li1,40.2500,65.2800,0.000057
_311_,VGND,li1,27.6000,65.2800,0.000035
_310_,VGND,li1,30.5900,48.9600,0.000058
_309_,VGND,li1,31.9700,32.6400,0.000047
_308_,VGND,li1,38.1800,21.7600,0.000022
_307_,VGND,li1,51.9800,43.5200,0.000105
_306_,VGND,li1,48.3000,16.3200,0.000065
_305_,VGND,li1,35.4200,32.6400,0.000052
_304_,VGND,li1,39.5600,21.7600,0.000024
_303_,VGND,li1,61.1800,27.2000,0.000101
_302_,VGND,li1,11.0400,43.5200,0.000049
_301_,VGND,li1,13.8000,54.4000,0.000040
_300_,VGND,li1,12.4200,54.4000,0.000040
_299_,VGND,li1,11.0400,65.2800,0.000039
_298_,VGND,li1,14.7200,65.2800,0.000038
_297_,VGND,li1,22.5400,65.2800,0.000033
_296_,VGND,li1,11.0400,59.8400,0.000016
_295_,VGND,li1,11.0400,48.9600,0.000043
_294_,VGND,li1,55.6600,16.3200,0.000070
_293_,VGND,li1,48.7600,16.3200,0.000065
_292_,VGND,li1,47.3800,43.5200,0.000101
_291_,VGND,li1,20.7000,27.2000,0.000034
_290_,VGND,li1,26.9100,32.6400,0.000041
_289_,VGND,li1,11.5000,32.6400,0.000044
_288_,VGND,li1,14.4900,21.7600,0.000014
_287_,VGND,li1,8.7400,32.6400,0.000044
_286_,VGND,li1,11.7300,27.2000,0.000038
